Age,EstimatedSalary,Purchased
18,99355,0
21,114938,0
21,81509,0
57,39777,0
27,140311,0
37,28824,0
39,148490,1
54,93778,1
41,51223,1
24,76570,0
42,21521,0
42,89659,1
30,111990,0
19,123483,0
56,136426,1
57,29254,0
41,66939,1
42,52073,1
35,46785,0
55,79570,1
43,95577,1
31,51950,1
26,128707,0
27,93696,0
38,113611,1
34,93928,1
23,94904,0
33,85838,1
18,103870,0
36,121771,1
53,127170,1
42,126987,1
47,130896,1
37,115796,1
37,107648,1
32,94128,1
57,105749,1
50,23286,0
19,124794,0
27,119299,0
50,145317,1
49,28640,0
28,18912,0
41,36752,0
53,74715,1
29,22997,0
46,85381,1
52,69268,1
18,84069,0
18,83473,0
54,106757,1
23,118243,0
56,107309,1
58,114438,1
35,129713,1
33,122984,1
22,16913,0
59,28429,0
49,139349,1
19,28907,0
19,50489,0
57,130616,1
59,53395,1
53,75155,1
56,135953,1
29,15469,0
36,58295,1
45,89253,1
18,131551,0
32,119489,1
53,97127,1
30,30115,0
38,133950,1
29,94983,0
22,26052,0
24,138096,0
22,30741,0
21,72368,0
30,109275,0
54,58986,1
58,20103,0
32,137627,1
33,50050,1
38,147812,1
53,70270,1
41,86382,1
33,126614,1
31,148847,1
39,45752,0
23,104099,0
59,86892,1
53,48930,0
18,61774,0
49,43651,0
23,77885,0
48,113927,1
18,112768,0
54,89498,1
52,78003,1
47,100971,1
